Time,1,2,3,4
44.969450,-5850.291950,-35860.375865,-28253.010303,-200000.000000
44.973485,-5848.861438,-35862.092479,-28251.961261,-200000.000000
44.977519,-5849.099857,-35864.858134,-28253.725559,-200000.000000
44.981553,-5850.530368,-35866.527065,-28255.680592,-200000.000000
44.985587,-5853.915912,-35866.860851,-28258.827717,-200000.000000
44.989621,-5854.106647,-35866.240962,-28262.213261,-200000.000000
44.993656,-5852.533084,-35865.287288,-28265.121968,-200000.000000
44.997690,-5850.530368,-35864.619716,-28265.598806,-200000.000000
45.001724,-5848.384601,-35863.761409,-28264.931234,-200000.000000
45.005758,-5846.048098,-35862.569316,-28263.166936,-200000.000000
45.009793,-5846.620303,-35860.137446,-28262.165578,-200000.000000
45.013827,-5847.955447,-35861.281855,-28263.596089,-200000.000000
45.017861,-5848.909122,-35861.520274,-28265.980275,-200000.000000
45.021895,-5851.674777,-35861.806376,-28267.363103,-200000.000000
45.025929,-5853.296024,-35861.663325,-28268.364461,-200000.000000
45.029964,-5852.437717,-35864.047511,-28269.270452,-200000.000000
45.033998,-5850.482684,-35863.761409,-28268.078359,-200000.000000
45.038032,-5850.291950,-35865.478023,-28268.507513,-200000.000000
45.042066,-5847.287875,-35866.527065,-28270.605596,-200000.000000
45.046101,-5844.712954,-35866.956218,-28272.560629,-200000.000000
45.050135,-5846.000415,-35866.574748,-28273.657355,-200000.000000
45.054169,-5849.958163,-35866.622432,-28275.373969,-200000.000000
45.058203,-5852.342350,-35865.001186,-28275.183234,-200000.000000
45.062237,-5854.869587,-35864.190562,-28274.372610,-200000.000000
45.066272,-5855.537159,-35862.616999,-28274.038824,-200000.000000
45.070306,-5853.868229,-35861.472590,-28273.418936,-200000.000000
45.074340,-5853.248340,-35860.614283,-28272.942099,-200000.000000
45.078374,-5853.200657,-35861.472590,-28273.466620,-200000.000000
45.082408,-5853.772861,-35863.522990,-28275.040182,-200000.000000
45.086443,-5857.730610,-35869.912609,-28276.852164,-200000.000000
45.090477,-5856.395466,-35870.627865,-28275.898489,-200000.000000
45.094511,-5854.583484,-35869.531139,-28274.324927,-200000.000000
45.098545,-5853.582126,-35865.811809,-28272.942099,-200000.000000
45.102580,-5852.485401,-35860.137446,-28270.891699,-200000.000000
45.106614,-5849.815112,-35855.035288,-28269.461187,-200000.000000
45.110648,-5852.056247,-35856.227381,-28270.748648,-200000.000000
45.114682,-5853.391391,-35856.751902,-28271.225485,-200000.000000
45.118716,-5852.485401,-35857.276423,-28270.557913,-200000.000000
45.122751,-5852.294666,-35859.231455,-28271.225485,-200000.000000
45.126785,-5851.054889,-35859.326823,-28270.844015,-200000.000000
45.130819,-5850.721103,-35859.040720,-28269.985708,-200000.000000
45.134853,-5849.529010,-35860.566599,-28269.222768,-200000.000000
45.138888,-5849.338275,-35861.997111,-28269.747289,-200000.000000
45.142922,-5848.241550,-35860.471232,-28267.696889,-200000.000000
45.146956,-5847.383243,-35858.516199,-28266.743215,-200000.000000
45.150990,-5846.858722,-35856.227381,-28266.504796,-200000.000000
45.155024,-5847.192508,-35852.174264,-28265.694173,-200000.000000
45.159059,-5846.095782,-35847.787362,-28264.788182,-200000.000000
45.163093,-5845.428210,-35848.693353,-28266.123327,-200000.000000
45.167127,-5847.430926,-35852.460367,-28267.887624,-200000.000000
45.171161,-5847.383243,-35854.558451,-28269.127401,-200000.000000
45.175196,-5846.000415,-35853.938562,-28270.081075,-200000.000000
45.179230,-5845.761996,-35854.320032,-28269.651922,-200000.000000
45.183264,-5846.667987,-35854.320032,-28268.698248,-200000.000000
45.187298,-5846.238833,-35851.411325,-28267.744573,-200000.000000
45.191332,-5849.147540,-35852.317316,-28270.414861,-200000.000000
45.195367,-5854.154331,-35859.469874,-28280.380759,-200000.000000
45.199401,-5862.451299,-35869.101986,-28295.210397,-200000.000000
45.203435,-5869.937643,-35878.877148,-28312.185802,-200000.000000
45.207469,-5877.996192,-35891.179549,-28328.779737,-200000.000000
45.211504,-5880.475745,-35896.949279,-28340.700667,-200000.000000
45.215538,-5881.381736,-35898.808944,-28344.658416,-200000.000000
45.219572,-5878.139243,-35895.995605,-28339.365523,-200000.000000
45.223606,-5870.939001,-35888.366209,-28327.015439,-200000.000000
45.227640,-5864.406331,-35877.780423,-28312.901057,-200000.000000
45.231675,-5861.449940,-35870.341762,-28301.218546,-200000.000000
45.235709,-5858.875019,-35864.715083,-28291.729485,-200000.000000
45.239743,-5856.300098,-35860.661967,-28286.388908,-200000.000000
45.243777,-5857.635243,-35858.468516,-28284.815345,-200000.000000
45.247812,-5856.395466,-35859.136088,-28283.813987,-200000.000000
45.251846,-5854.297382,-35860.948069,-28281.906638,-200000.000000
45.255880,-5852.199298,-35862.521632,-28281.096015,-200000.000000
45.259914,-5851.865512,-35860.852702,-28280.476127,-200000.000000
45.263948,-5850.864154,-35857.562525,-28279.713187,-200000.000000
45.267983,-5850.339633,-35852.984888,-28278.950248,-200000.000000
45.272017,-5851.579410,-35852.269632,-28280.380759,-200000.000000
45.276051,-5852.342350,-35851.268274,-28281.143699,-200000.000000
45.280085,-5853.343708,-35852.841837,-28281.525169,-200000.000000
45.284120,-5854.106647,-35854.224664,-28280.714545,-200000.000000
45.288154,-5853.486759,-35857.514841,-28279.903922,-200000.000000
45.292188,-5853.677494,-35858.277781,-28278.902564,-200000.000000
45.296222,-5854.249698,-35857.800944,-28277.996573,-200000.000000
45.300256,-5852.771503,-35857.085688,-28278.711829,-200000.000000
45.304291,-5851.913196,-35860.232813,-28280.237708,-200000.000000
45.308325,-5851.960880,-35860.566599,-28281.811271,-200000.000000
45.312359,-5850.864154,-35858.516199,-28283.337150,-200000.000000
45.316393,-5850.387317,-35858.611567,-28284.481559,-200000.000000
45.320427,-5851.102573,-35859.755976,-28284.910713,-200000.000000
45.324462,-5851.627094,-35859.899027,-28286.436592,-200000.000000
45.328496,-5854.202015,-35857.371790,-28286.627327,-200000.000000
45.332530,-5856.204731,-35857.133371,-28287.628685,-200000.000000
45.336564,-5856.347782,-35855.750544,-28288.582359,-200000.000000
45.340599,-5856.061680,-35854.129297,-28288.296257,-200000.000000
45.344633,-5855.918629,-35853.127939,-28287.485634,-200000.000000
45.348667,-5855.680210,-35855.464441,-28288.391624,-200000.000000
45.352701,-5854.440433,-35855.512125,-28287.199531,-200000.000000
45.356735,-5854.392750,-35856.751902,-28287.247215,-200000.000000
45.360770,-5855.346424,-35858.611567,-28288.343941,-200000.000000
45.364804,-5856.204731,-35859.565241,-28290.298973,-200000.000000
45.368838,-5856.633885,-35861.711009,-28293.541466,-200000.000000
45.372872,-5856.538517,-35859.803660,-28293.827569,-200000.000000
45.376907,-5856.252415,-35855.321390,-28292.635476,-200000.000000
45.380941,-5855.823261,-35854.272348,-28292.778527,-200000.000000
45.384975,-5854.774219,-35854.081613,-28292.683159,-200000.000000
45.389009,-5852.771503,-35854.033930,-28293.350732,-200000.000000
45.393043,-5854.249698,-35856.656534,-28296.259439,-200000.000000
45.397078,-5855.537159,-35862.426265,-28298.786676,-200000.000000
45.401112,-5856.157047,-35864.428981,-28300.980127,-200000.000000
45.405146,-5857.587559,-35863.761409,-28302.076853,-200000.000000
45.409180,-5860.305531,-35861.043437,-28301.218546,-200000.000000
45.413215,-5860.067112,-35859.899027,-28300.312555,-200000.000000
45.417249,-5857.825978,-35858.802302,-28299.788034,-200000.000000
45.421283,-5858.350498,-35857.943995,-28299.692666,-200000.000000
45.425317,-5859.256489,-35859.803660,-28301.027811,-200000.000000
45.429351,-5857.063038,-35859.136088,-28300.741708,-200000.000000
45.433386,-5855.680210,-35860.232813,-28300.694025,-200000.000000
45.437420,-5858.159764,-35862.140162,-28301.266229,-200000.000000
45.441454,-5857.921345,-35862.330897,-28301.027811,-200000.000000
45.445488,-5857.873661,-35859.946711,-28301.027811,-200000.000000
45.449523,-5858.064396,-35859.946711,-28302.172220,-200000.000000
45.453557,-5859.781010,-35860.042079,-28303.841150,-200000.000000
45.457591,-5860.162480,-35858.849985,-28303.650415,-200000.000000
45.461625,-5859.161122,-35857.943995,-28303.984201,-200000.000000
45.465659,-5859.733326,-35859.422190,-28303.555048,-200000.000000
45.469694,-5860.973103,-35861.520274,-28302.267587,-200000.000000
45.473728,-5862.260564,-35859.851344,-28300.360239,-200000.000000
45.477762,-5862.594350,-35859.279139,-28300.503290,-200000.000000
45.481796,-5862.117512,-35859.422190,-28299.311197,-200000.000000
45.485831,-5859.065754,-35855.702860,-28295.877969,-200000.000000
45.489865,-5857.110722,-35855.178339,-28294.542825,-200000.000000
45.493899,-5853.820545,-35857.800944,-28294.447457,-200000.000000
45.497933,-5852.151615,-35857.085688,-28292.683159,-200000.000000
45.501967,-5849.385959,-35854.081613,-28290.632759,-200000.000000
45.506002,-5848.146182,-35854.701502,-28290.871178,-200000.000000
45.510036,-5847.764712,-35853.795511,-28291.014229,-200000.000000
45.514070,-5846.238833,-35851.077539,-28288.963829,-200000.000000
45.518104,-5845.571261,-35850.886804,-28288.963829,-200000.000000
45.522138,-5849.242908,-35853.127939,-28288.916145,-200000.000000
45.526173,-5850.101215,-35853.175623,-28287.771736,-200000.000000
45.530207,-5851.436359,-35852.841837,-28286.770378,-200000.000000
45.534241,-5852.962238,-35852.031213,-28288.486992,-200000.000000
45.538275,-5850.530368,-35848.407250,-28287.867104,-200000.000000
45.542310,-5846.143466,-35847.215157,-28285.149131,-200000.000000
45.546344,-5846.381884,-35847.310525,-28285.149131,-200000.000000
45.550378,-5846.143466,-35845.355492,-28285.196815,-200000.000000
45.554412,-5846.906405,-35846.023064,-28284.529243,-200000.000000
45.558446,-5849.958163,-35848.597985,-28284.863029,-200000.000000
45.562481,-5852.390033,-35848.741037,-28287.914787,-200000.000000
45.566515,-5852.246982,-35849.027139,-28289.726769,-200000.000000
45.570549,-5851.579410,-35851.029855,-28291.109597,-200000.000000
45.574583,-5851.293308,-35852.937204,-28290.585076,-200000.000000
45.578618,-5849.624377,-35853.175623,-28289.488350,-200000.000000
45.582652,-5849.576694,-35852.794153,-28288.439308,-200000.000000
45.586686,-5851.007205,-35851.840478,-28286.961113,-200000.000000
45.590720,-5849.910480,-35849.694711,-28285.292183,-200000.000000
45.594754,-5848.813754,-35845.736962,-28287.104164,-200000.000000
45.598789,-5849.385959,-35846.166116,-28290.775811,-200000.000000
45.602823,-5849.815112,-35848.550302,-28293.636834,-200000.000000
45.606857,-5849.862796,-35851.411325,-28294.876611,-200000.000000
45.610891,-5851.674777,-35854.653818,-28295.019662,-200000.000000
45.614926,-5852.199298,-35858.802302,-28294.495141,-200000.000000
45.618960,-5852.866871,-35856.084330,-28292.540108,-200000.000000
45.622994,-5853.820545,-35854.272348,-28291.586434,-200000.000000
45.627028,-5853.057605,-35854.367716,-28290.966545,-200000.000000
45.631062,-5852.628452,-35852.031213,-28290.155922,-200000.000000
45.635097,-5851.627094,-35847.548943,-28287.819420,-200000.000000
45.639131,-5850.339633,-35849.170190,-28286.388908,-200000.000000
45.643165,-5848.479968,-35850.505334,-28286.198173,-200000.000000
45.647199,-5849.242908,-35850.696069,-28287.056480,-200000.000000
45.651234,-5849.862796,-35852.841837,-28289.726769,-200000.000000
45.655268,-5850.959522,-35855.464441,-28292.540108,-200000.000000
45.659302,-5851.722461,-35855.655176,-28294.018304,-200000.000000
45.663336,-5852.294666,-35855.559809,-28293.875252,-200000.000000
45.667370,-5848.670703,-35850.696069,-28291.967904,-200000.000000
45.671405,-5844.856005,-35849.122506,-28289.679085,-200000.000000
45.675439,-5843.377810,-35849.265557,-28287.867104,-200000.000000
45.679473,-5841.518145,-35848.979455,-28286.818062,-200000.000000
45.683507,-5841.756563,-35847.358209,-28286.770378,-200000.000000
45.687542,-5844.951373,-35850.505334,-28287.867104,-200000.000000
45.691576,-5848.432284,-35849.647027,-28289.917504,-200000.000000
45.695610,-5849.481326,-35849.313241,-28291.729485,-200000.000000
45.699644,-5851.054889,-35850.219232,-28292.778527,-200000.000000
45.703678,-5851.197940,-35850.600702,-28293.207680,-200000.000000
45.707713,-5850.673419,-35849.790078,-28295.162713,-200000.000000
45.711747,-5850.673419,-35853.461725,-28296.116387,-200000.000000
45.715781,-5850.911838,-35853.652460,-28295.448815,-200000.000000
45.719815,-5850.148898,-35853.414041,-28294.971978,-200000.000000
45.723849,-5851.484043,-35853.652460,-28294.828927,-200000.000000
45.727884,-5851.102573,-35851.888162,-28292.873894,-200000.000000
45.731918,-5849.481326,-35848.836404,-28289.726769,-200000.000000
45.735952,-5849.767429,-35850.028497,-28289.297615,-200000.000000
45.739986,-5850.053531,-35850.791437,-28291.014229,-200000.000000
45.744021,-5848.146182,-35849.408609,-28291.014229,-200000.000000
45.748055,-5847.240191,-35849.503976,-28291.443383,-200000.000000
