Time,1,2,3
122.378696,-5735.517232,-36877.135858,-29534.891788
122.382724,-5736.900060,-36876.182184,-29535.177891
122.386752,-5737.233846,-36874.560937,-29535.702412
122.390780,-5738.235204,-36874.274835,-29535.416309
122.394808,-5737.329213,-36873.464212,-29534.605686
122.398836,-5737.615316,-36873.654947,-29535.034840
122.402864,-5736.995427,-36873.082742,-29535.702412
122.406892,-5736.089437,-36874.990091,-29534.939472
122.410920,-5735.326497,-36876.182184,-29535.082523
122.414948,-5737.233846,-36878.947840,-29537.037556
122.418976,-5736.280171,-36879.710779,-29538.181965
122.423004,-5735.755650,-36879.996881,-29539.040272
122.427032,-5736.518590,-36877.421961,-29539.421742
122.431060,-5738.378255,-36876.659021,-29539.707844
122.435088,-5738.187520,-36874.847040,-29538.754170
122.439116,-5738.664358,-36872.653588,-29536.608402
122.443144,-5740.714758,-36872.796640,-29535.607044
122.447172,-5739.188878,-36874.465570,-29534.891788
122.451200,-5735.707967,-36873.988733,-29533.842746
122.455228,-5732.465474,-36873.130426,-29531.887714
122.459256,-5731.225697,-36873.511895,-29531.649295
122.463284,-5729.509083,-36873.607263,-29531.792346
122.467312,-5729.079929,-36872.224435,-29531.601612
122.471340,-5730.272023,-36871.127709,-29532.030765
122.475368,-5731.416432,-36870.460137,-29532.507602
122.479396,-5732.227055,-36868.171319,-29533.747379
122.483424,-5731.464116,-36864.213570,-29532.698337
122.487452,-5731.368748,-36864.976509,-29532.936756
122.491480,-5730.558125,-36866.168602,-29532.698337
122.495508,-5731.273381,-36867.456063,-29532.841388
122.499536,-5730.224339,-36869.506463,-29531.458560
122.503564,-5731.225697,-36872.462853,-29531.601612
122.507592,-5732.036320,-36873.368844,-29531.220142
122.511620,-5733.037678,-36873.464212,-29530.314151
122.515648,-5734.468190,-36871.080026,-29529.837314
122.519676,-5736.184804,-36871.223077,-29531.029407
122.523704,-5734.849660,-36872.224435,-29531.220142
122.527732,-5734.849660,-36870.269402,-29530.171100
122.531760,-5736.375539,-36870.269402,-29530.647937
122.535788,-5735.994069,-36871.509179,-29530.457202
122.539816,-5736.947744,-36871.604546,-29531.077091
122.543844,-5743.194311,-36874.990091,-29535.463993
122.547872,-5750.728339,-36884.574519,-29545.620626
122.551900,-5759.645195,-36895.780193,-29559.735007
122.555928,-5768.991204,-36906.556714,-29576.996514
122.559956,-5777.621958,-36915.473570,-29592.875194
122.563984,-5780.912135,-36920.003524,-29602.650357
122.568012,-5778.575632,-36920.051208,-29603.842450
122.572040,-5772.376749,-36914.519896,-29595.831584
122.576068,-5764.270516,-36906.556714,-29583.290766
122.580096,-5756.116600,-36898.688900,-29568.699547
122.584124,-5750.299186,-36891.202556,-29557.493872
122.588152,-5747.962683,-36883.859263,-29550.961202
122.592180,-5745.483130,-36878.804788,-29547.957128
122.596208,-5746.770590,-36879.329309,-29546.002095
122.600236,-5747.247427,-36880.473719,-29545.477575
122.604264,-5747.056692,-36881.284342,-29543.474858
122.608292,-5746.293753,-36881.475077,-29539.231007
122.612320,-5744.958609,-36881.236658,-29535.559360
122.616348,-5741.620748,-36877.898798,-29532.221500
